FILEID	STUSAB	SUMLEV	GEOVAR	GEOCOMP	CHARITER	CIFSN	LOGRECNO	GEOID	GEOCODE	REGION	DIVISION	STATE	STATENS	COUNTY	COUNTYCC	COUNTYNS	COUSUB	COUSUBCC	COUSUBNS	SUBMCD	SUBMCDCC	SUBMCDNS	ESTATE	ESTATECC	ESTATENS	CONCIT	CONCITCC	CONCITNS	PLACE	PLACECC	PLACENS	TRACT	BLKGRP	BLOCK	AIANHH	AIHHTLI	AIANHHFP	AIANHHCC	AIANHHNS	AITS	AITSFP	AITSCC	AITSNS	TTRACT	TBLKGRP	ANRC	ANRCCC	ANRCNS	CBSA	MEMI	CSA	METDIV	NECTA	NMEMI	CNECTA	NECTADIV	CBSAPCI	NECTAPCI	UA	UATYPE	UR	CD116	CD118	CD119	CD120	CD121	SLDU18	SLDU22	SLDU24	SLDU26	SLDU28	SLDL18	SLDL22	SLDL24	SLDL26	SLDL28	VTD	VTDI	ZCTA	SDELM	SDSEC	SDUNI	PUMA	AREALAND	AREAWATR	BASENAME	NAME	FUNCSTAT	GCUNI	POP100	HU100	INTPTLAT	INTPTLON	LSADC	PARTFLAG	UGA	POP2020	WHITE	BLACK	HISPANIC	NON_HISPANIC	NATIVE	ASIAN	PACISL	OTHER	MULTINH	POP18_2020	WHITE18	BLACK18	HISP18	NON_HISP18	NATIVE18	ASIAN18	PACISL18	OTHER18	MULTINH18	GQPOP	GQINST20	GQPRIS20	GQJUV20	GQNUR20	GQOTHINST20	GQNONINST20	GQCOLL20	GQMILI20	GQOTHNONINST20	TOT_HOUSING	OCCUPIED	VACANT
PLST	GA	750	00	00	000	03	0166972	7500000US130890201001000	130890201001000	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1000	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		35966	0	1000	Block 1000	S		216	70	+33.8029479	-084.3388393	BK		99999	216	61	13	134	82	0	7	0	1	0	132	41	7	76	56	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	70	70	0
PLST	GA	750	00	00	000	03	0166974	7500000US130890201001002	130890201001002	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1002	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000EG	A		99999	99999	01740		998	0	1002	Block 1002	S		5	1	+33.8022657	-084.3381995	BK		99999	5	1	4	0	5	0	0	0	0	0	4	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PLST	GA	750	00	00	000	03	0166977	7500000US130890201001005	130890201001005	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1005	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		50322	5536	1005	Block 1005	S		43	18	+33.8013222	-084.3397353	BK		99999	43	35	0	6	37	0	2	0	0	0	34	31	0	3	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	7
PLST	GA	750	00	00	000	03	0166978	7500000US130890201001006	130890201001006	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1006	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		88225	0	1006	Block 1006	S		46	18	+33.7992774	-084.3422570	BK		99999	46	41	2	3	43	0	0	0	0	0	37	32	2	3	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0
PLST	GA	750	00	00	000	03	0166979	7500000US130890201001007	130890201001007	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1007	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		18246	0	1007	Block 1007	S		35	14	+33.7983207	-084.3434816	BK		99999	35	30	0	3	32	0	0	0	0	2	32	28	0	2	30	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	14	0
PLST	GA	750	00	00	000	03	0166980	7500000US130890201001008	130890201001008	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1008	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		82251	0	1008	Block 1008	S		39	15	+33.7975589	-084.3416854	BK		99999	39	33	0	2	37	0	2	0	2	0	27	23	0	1	26	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	15	15	0
PLST	GA	750	00	00	000	03	0166981	7500000US130890201001009	130890201001009	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1009	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		21702	0	1009	Block 1009	S		42	19	+33.7974690	-084.3452662	BK		99999	42	30	0	3	39	0	8	0	1	0	28	23	0	0	28	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	0
PLST	GA	750	00	00	000	03	0166982	7500000US130890201001010	130890201001010	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1010	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		25112	0	1010	Block 1010	S		66	20	+33.7976782	-084.3472753	BK		99999	66	56	0	5	61	0	0	0	3	2	44	35	0	4	40	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	20	20	0
PLST	GA	750	00	00	000	03	0166983	7500000US130890201001011	130890201001011	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1011	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		41058	0	1011	Block 1011	S		98	36	+33.7962728	-084.3466718	BK		99999	98	84	5	5	93	0	3	0	1	0	73	59	5	5	68	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	36	36	0
PLST	GA	750	00	00	000	03	0166984	7500000US130890201001012	130890201001012	3	5	13	01705317	089	H1	01687424	90150	Z5	01936090							99999	99	99999999	04000	C1	02403126	020100	1	1012	9999	9	99999	99	99999999	999	99999	99	99999999	999999	9	99999	99	99999999	12060	1	122	99999	99999	9	999	99999	Y	N				05					042					083					0000JA	A		99999	99999	00120		2398	0	1012	Block 1012	S		0	0	+33.7966802	-084.3452753	BK		99999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
