GEO_ID,NAME,TSRR001_001,TSRR001_002,TSRR001_003,TSRR001_004,TSRR001_005,TSRR001_006,TSRR001_007,TSRR001_008,TSRR001_009,TSRR001_010,TSRR001_011,TSRR001_012,TSRR001_013,TSRR001_014,TSRR001_015,TSRR001_016,TSRR001_017,TSRR001_018,TSRR001_019,TSRR001_020,TSRR001_021,TSRR001_022,TSRR001_023,TSRR001_024,Unnamed: 26
13089020100,Census Tract 201; DeKalb County; Georgia,73.8,2.8,0.5,77.1,76.5,3.2,0.9,80.6,77.3,2.9,0.5,80.7,80.0,3.3,1.0,84.2,2.5,2.6,70.1,73.1,79.8,83.3,8.2,8.5,
13089020200,Census Tract 202; DeKalb County; Georgia,60.7,2.4,0.2,63.4,63.3,3.1,0.6,67.0,71.8,2.9,0.3,75.0,74.9,3.7,0.6,79.1,12.8,13.9,66.6,70.8,77.4,82.1,8.6,10.8,
13089020300,Census Tract 203; DeKalb County; Georgia,72.9,2.7,0.1,75.7,75.7,3.1,0.2,78.9,75.8,2.8,0.1,78.8,78.6,3.2,0.2,82.0,2.1,2.1,72.2,75.8,79.4,83.4,4.3,4.8,
13089020400,Census Tract 204; DeKalb County; Georgia,69.8,2.9,0.0,72.7,73.6,3.3,0.0,76.9,72.5,3.0,0.0,75.5,76.3,3.4,0.0,79.8,2.0,2.0,68.0,74.4,75.4,82.4,4.3,7.5,
13089020500,Census Tract 205; DeKalb County; Georgia,60.4,4.9,1.0,66.3,64.3,5.9,1.2,71.4,65.0,5.2,1.1,71.3,69.1,6.3,1.3,76.7,5.0,5.0,57.7,61.2,74.2,78.6,17.0,17.7,
13089020600,Census Tract 206; DeKalb County; Georgia,53.3,2.3,0.7,56.3,55.9,3.2,0.7,59.8,60.0,2.6,0.8,63.4,62.9,3.5,0.8,67.2,9.9,10.2,60.3,65.0,70.9,76.3,10.0,11.7,
13089020700,Census Tract 207; DeKalb County; Georgia,61.3,4.4,0.5,66.2,65.5,5.0,0.8,71.3,65.2,4.7,0.5,70.4,69.6,5.4,0.8,75.8,4.6,4.6,62.3,65.3,76.0,79.8,10.6,12.1,
13089020801,Census Tract 208.01; DeKalb County; Georgia,77.5,3.3,0.8,81.6,79.2,3.5,0.8,83.6,81.1,3.5,0.8,85.3,82.8,3.7,0.9,87.3,3.3,3.3,71.6,76.5,81.3,86.9,7.5,9.6,
13089020802,Census Tract 208.02; DeKalb County; Georgia,61.5,4.8,1.4,67.7,64.5,5.7,1.5,71.7,66.3,5.2,1.5,73.0,69.5,6.2,1.6,77.3,6.1,6.2,62.4,65.8,70.1,73.9,6.8,7.5,
13089020901,Census Tract 209.01; DeKalb County; Georgia,64.7,3.9,1.4,70.0,67.9,4.6,1.4,73.9,70.1,4.3,1.5,75.8,73.3,5.0,1.6,79.9,6.3,6.3,63.7,67.8,77.0,81.9,11.6,13.0,
13089020902,Census Tract 209.02; DeKalb County; Georgia,67.7,4.8,1.2,73.7,70.0,5.0,1.3,76.2,71.1,5.1,1.2,77.4,73.5,5.2,1.3,80.1,4.0,4.1,64.9,68.9,76.1,80.8,12.1,12.8,
13089021103,Census Tract 211.03; DeKalb County; Georgia,54.9,2.7,0.1,57.7,58.9,3.4,0.2,62.5,61.3,3.0,0.2,64.4,65.5,3.9,0.2,69.6,8.4,8.6,75.1,78.5,81.3,85.0,5.8,6.1,
13089021415,Census Tract 214.15; DeKalb County; Georgia,52.6,2.2,0.3,55.0,56.5,2.5,0.5,59.5,62.0,2.6,0.3,65.0,66.5,3.0,0.6,70.0,13.8,13.8,68.2,72.0,75.1,79.3,5.2,6.7,
13089021502,Census Tract 215.02; DeKalb County; Georgia,54.7,2.2,0.4,57.4,58.9,2.7,0.6,62.1,60.9,2.5,0.5,63.8,65.3,2.9,0.6,68.9,4.7,4.8,60.2,64.1,66.5,70.8,5.1,5.9,
13089021505,Census Tract 215.05; DeKalb County; Georgia,61.7,3.1,0.2,65.0,65.4,3.7,0.3,69.4,66.4,3.4,0.2,70.0,70.3,3.9,0.4,74.6,4.5,4.8,54.8,58.1,73.8,78.0,23.0,23.3,
13089021506,Census Tract 215.06; DeKalb County; Georgia,39.6,3.2,0.3,43.1,41.8,4.1,0.5,46.5,44.4,3.6,0.4,48.3,46.6,4.6,0.6,51.8,7.9,8.1,62.2,66.0,69.9,74.0,7.3,7.9,
